,Link,Title,Discription,Colors_available,Current_Price,MRP,Percentage_discount
0,,,,,,,
1,https://www.nike.com/in/t/metcon-8-flyease-easy-on-off-training-shoes-kKmGG7/DO9388-001,Nike Metcon 8 FlyEase,Men's Easy On/Off Training Shoes,2 Colours,10107,11895,17.69070941
2,https://www.nike.com/in/t/zoom-fly-5-road-running-shoes-3sF4CW/DM8974-300,Nike Zoom Fly 5,Women's Road Running Shoes,2 Colours,14247,14995,5.250228118
3,https://www.nike.com/in/t/sb-force-58-skate-shoe-HNFTvl/CZ2959-111,Nike SB Force 58,Skate Shoe,1 Colour,5097,5995,17.61820679
4,https://www.nike.com/in/t/air-zoom-superrep-3-hiit-class-shoes-ptglrj/DA9492-010,Nike Air Zoom SuperRep 3,Women's HIIT Class Shoes,1 Colour,8747,10295,17.69749628
5,https://www.nike.com/in/t/blazer-mid-77-d-older-shoes-1Cv7jt/DQ6084-500,Nike Blazer Mid '77 D,Older Kids' Shoes,1 Colour,5947,6995,17.62233059
6,https://www.nike.com/in/t/air-max-dawn-older-shoes-J8Dwkq/DH3157-107,Nike Air Max Dawn,Older Kids' Shoes,1 Colour,6367,7495,17.71634993
7,https://www.nike.com/in/t/air-force-1-pltaform-lv8-shoes-fn9dmS/DX3199-100,Nike Air Force 1 PLT.AF.ORM LV8,Women's Shoes,1 Colour,10257,10795,5.245198401
8,https://www.nike.com/in/t/air-max-plus-shoes-04K813/DM0032-800,Nike Air Max Plus,Shoes,1 Colour,14247,14995,5.250228118
9,https://www.nike.com/in/t/nikecourt-legacy-shoes-ZVsQtp/DX3216-100,NikeCourt Legacy,Women's Shoes,1 Colour,5977,6295,5.320394847
10,https://www.nike.com/in/t/air-max-flyknit-racer-shoes-rVNTNl/DM9073-300,Nike Air Max Flyknit Racer,Women's Shoes,1 Colour,14247,14995,5.250228118
11,https://www.nike.com/in/t/jordan-delta-3-low-shoes-fQrm6Q/DN2647-651,Jordan Delta 3 Low,Men's Shoes,2 Colours,12157,12795,5.248005264
12,https://www.nike.com/in/t/nikecourt-zoom-nxt-hard-court-tennis-shoes-6xrnQj/DH0222-102,NikeCourt Zoom NXT,Women's Hard Court Tennis Shoes,1 Colour,12347,12995,5.248238438
13,https://www.nike.com/in/t/air-max-95-se-shoe-1swxxQ/DQ0268-001,Nike Air Max 95 SE,Men's Shoes,1 Colour,15197,15995,5.251036389
14,https://www.nike.com/in/t/nikecourt-react-vapor-nxt-hard-court-tennis-shoes-qXfkpM/CV0742-402,NikeCourt React Vapor NXT,Women's Hard Court Tennis Shoes,1 Colour,13767,14495,5.288007554
15,https://www.nike.com/in/t/vomero-16-road-running-shoes-h0KMSg/DA7245-008,Nike Vomero 16,Men's Road Running Shoes,1 Colour,12817,13495,5.289849419
16,https://www.nike.com/in/t/air-max-flyknit-racer-shoes-Q9lN71/DJ6106-001,Nike Air Max Flyknit Racer,Men's Shoes,3 Colours,14247,14995,5.250228118
17,https://www.nike.com/in/t/air-force-1-serena-williams-design-crew-shoes-71Tc8b/DR9842-400,Nike Air Force 1 x Serena Williams Design Crew,Shoes,1 Colour,12157,12795,5.248005264
18,https://www.nike.com/in/t/air-max-alpha-trainer-5-training-shoes-x8Jzj6/DM0829-300,Nike Air Max Alpha Trainer 5,Men's Training Shoes,1 Colour,7117,7495,5.31122664
19,https://www.nike.com/in/t/zegama-trail-running-shoes-LhRsM7/DH0623-002,Nike Zegama,Men's Trail-Running Shoes,1 Colour,13297,13995,5.249304354
20,https://www.nike.com/in/t/air-force-1-fontanka-shoes-sJrqz3/DH1290-102,Nike Air Force 1 Fontanka,Women's Shoes,1 Colour,9347,10995,17.63132556
21,https://www.nike.com/in/t/air-jordan-5-retro-older-shoes-nnTrYzdO/440888-141,Air Jordan 5 Retro,Older Kids' Shoes,1 Colour,9497,9995,5.243761188
22,https://www.nike.com/in/t/jordan-courtside-23-shoes-n4N2qB/DZ2791-101,Jordan Courtside 23,Men's Shoes,1 Colour,10727,11295,5.295049874
23,https://www.nike.com/in/t/air-jordan-1-zoom-cmft-shoes-mDxHSk/CT0978-501,Air Jordan 1 Zoom CMFT,Shoes,2 Colours,11867,12495,5.29198618
24,https://www.nike.com/in/t/victori-one-printed-slide-2ZsMWk/CN9678-011,Nike Victori One,Men's Printed Slide,1 Colour,2467,2595,5.188488042
25,https://www.nike.com/in/t/air-jordan-5-retro-shoes-CHQqM4/DD0587-141,Air Jordan 5 Retro,Men's Shoes,1 Colour,17477,18395,5.252617726
26,https://www.nike.com/in/t/air-jordan-xxxvii-pf-basketball-shoes-FxrCGw/DD6959-160,Air Jordan XXXVII PF,Men's Basketball Shoes,1 Colour,14697,17295,17.67707695
27,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-hHltxp/DN4904-001,Air Jordan 1 Mid SE,Men's Shoes,1 Colour,9777,10295,5.298148716
28,https://www.nike.com/in/t/air-force-1-mid-07-lx-shoes-nCq9WX/DQ8766-001,Nike Air Force 1 Mid '07 LX,Men's Shoes,1 Colour,11297,11895,5.293440736
29,https://www.nike.com/in/t/nikecourt-legacy-shoes-NRc9Qb/DX3175-001,NikeCourt Legacy,Men's Shoes,1 Colour,5977,6295,5.320394847
30,https://www.nike.com/in/t/dunk-low-disrupt-2-shoes-rmbZnK/DV4024-400,Nike Dunk Low Disrupt 2,Women's Shoes,1 Colour,9207,9695,5.300314978
31,https://www.nike.com/in/t/air-max-90-slides-bPJh33/BQ4635-002,Nike Air Max 90,Slides,1 Colour,5097,5995,17.61820679
